,书籍名称,价格,出版社,评论数,商品链接,图片链接
168, Python金融数据分析,54.50,人民邮电出版社,206,http://product.dangdang.com/25255618.html,images/model/guan/url_none.png
169, Python黑客攻防入门,46.60,机械工业出版社,564,http://product.dangdang.com/25219985.html,images/model/guan/url_none.png
170, Python爬虫开发与项目实战,62.40,机械工业出版社,1653,http://product.dangdang.com/25091587.html,images/model/guan/url_none.png
171, Python文本分析,62.40,机械工业出版社,347,http://product.dangdang.com/25270163.html,images/model/guan/url_none.png
172, Python树莓派编程,38.70,人民邮电出版社,415,http://product.dangdang.com/24102279.html,images/model/guan/url_none.png
173, Python贝叶斯分析,54.50,人民邮电出版社,657,http://product.dangdang.com/25219984.html,images/model/guan/url_none.png
174, Python核心编程 第3版 英文版,68.30,人民邮电出版社,470,http://product.dangdang.com/23928875.html,images/model/guan/url_none.png
175, Python数字信号处理应用,35.50,中国铁道出版社,348,http://product.dangdang.com/25232652.html,images/model/guan/url_none.png
176, Python数据爬取技术与实战手册,53.20,人民邮电出版社,128,http://product.dangdang.com/25343936.html,images/model/guan/url_none.png
177, Python 3程序开发指南（第2版 修订版）,54.50,人民邮电出版社,1247,http://product.dangdang.com/23656113.html,images/model/guan/url_none.png
178, Python数据处理,78.20,人民邮电出版社,1071,http://product.dangdang.com/25107100.html,images/model/guan/url_none.png
179, Python基础教程(第2版・修订版),54.50,电子工业出版社,29114,http://product.dangdang.com/23473514.html,images/model/guan/url_none.png
180, Python程序设计基础教程,33.80,电子工业出版社,4,http://product.dangdang.com/26511975.html,http://img3m5.ddimg.cn/72/32/26511975-1_b_3.jpg
181, 从芯片到云端：Python物联网全栈开发实践,105.90,电子工业出版社,243,http://product.dangdang.com/25182996.html,images/model/guan/url_none.png
182, Python编程：从数据分析到数据科学,53.70,清华大学出版社,48,http://product.dangdang.com/26490435.html,images/model/guan/url_none.png
183, 从Python开始学编程,43.60,人民邮电出版社,434,http://product.dangdang.com/24142439.html,images/model/guan/url_none.png
184, 乐学Python编程-做个游戏很简单,55.10,清华大学出版社,1,http://product.dangdang.com/27862928.html,images/model/guan/url_none.png
185, Python入门经典,30.80,人民邮电出版社,666,http://product.dangdang.com/23584027.html,images/model/guan/url_none.png
186, 图解算法――使用Python,38.70,清华大学出版社,134,http://product.dangdang.com/25535042.html,images/model/guan/url_none.png
187, Python 3.0科学计算指南,54.50,清华大学出版社,131,http://product.dangdang.com/25299664.html,images/model/guan/url_none.png
188, 人工智能基础教程：Python篇（青少版）,39.30,电子工业出版社,84,http://product.dangdang.com/26918601.html,images/model/guan/url_none.png
189, Python网络爬虫实战（第2版）,62.40,人民邮电出版社,103,http://product.dangdang.com/25341237.html,images/model/guan/url_none.png
190, Python机器学习算法,61.40,华中科技大学出版社,849,http://product.dangdang.com/25100931.html,images/model/guan/url_none.png
191, Python快速编程入门,33.80,清华大学出版社,350,http://product.dangdang.com/25156894.html,images/model/guan/url_none.png
192, Python语言程序设计基础,36.30,电子工业出版社,0,http://product.dangdang.com/27869821.html,images/model/guan/url_none.png
193, 小天才学Python（教学指导）,33.20,机械工业出版社,57,http://product.dangdang.com/26918605.html,images/model/guan/url_none.png
194, Python与神经网络实战,70.30,清华大学出版社,203,http://product.dangdang.com/25310752.html,images/model/guan/url_none.png
195, Python强化学习实战：应用OpenAI Gym和TensorFlow精通强化学习和深度强化学习,47.60,电子工业出版社,120,http://product.dangdang.com/26435983.html,images/model/guan/url_none.png
196, Python轻松学:爬虫、游戏与架站,46.60,西安电子科技大学出版社,14,http://product.dangdang.com/26918588.html,images/model/guan/url_none.png
197, 跟老齐学Python：Django实战（第2版）,70.30,人民邮电出版社,112,http://product.dangdang.com/26909544.html,images/model/guan/url_none.png
198, Python程序设计与案例教程,29.20,人民邮电出版社,2,http://product.dangdang.com/26510672.html,images/model/guan/url_none.png
199, Python金融实战,54.50,机械工业出版社,625,http://product.dangdang.com/25107103.html,images/model/guan/url_none.png
200, Python 3 基础教程,35.70,人民邮电出版社,621,http://product.dangdang.com/24058017.html,images/model/guan/url_none.png
201, 量化交易之路 用Python做股票量化分析,66.00,电子工业出版社,1853,http://product.dangdang.com/25159105.html,images/model/guan/url_none.png
202, Python科学计算最佳实践 SciPy指南,54.50,人民邮电出版社,102,http://product.dangdang.com/26203214.html,images/model/guan/url_none.png
203, 零起点Python大数据与量化交易,88.10,电子工业出版社,1950,http://product.dangdang.com/24169777.html,images/model/guan/url_none.png
204, Python趣味编程入门,33.80,电子工业出版社,127,http://product.dangdang.com/25323526.html,images/model/guan/url_none.png
205, Python绝技：运用Python成为顶级数据工程师,70.30,机械工业出版社,222,http://product.dangdang.com/25284224.html,images/model/guan/url_none.png
206, OpenCV算法精解：基于Python与C++,62.60,清华大学出版社,1048,http://product.dangdang.com/25182999.html,images/model/guan/url_none.png
207, Odoo快速入门与实战：Python开发ERP指南,62.40,电子工业出版社,0,http://product.dangdang.com/27871515.html,images/model/guan/url_none.png
208, Python+Spark 2.0+Hadoop机器学习与大数据实战,78.20,电子工业出版社,916,http://product.dangdang.com/25213411.html,images/model/guan/url_none.png
209, 机器学习――Python实践,52.50,电子工业出版社,937,http://product.dangdang.com/25199640.html,images/model/guan/url_none.png
210, Python数据分析：基于Plotly的动态可视化绘图,70.30,人民邮电出版社,208,http://product.dangdang.com/25279160.html,images/model/guan/url_none.png
211, 跟老齐学Python：数据分析,70.30,机械工业出版社,313,http://product.dangdang.com/25294011.html,images/model/guan/url_none.png
212, Python编程基础,27.40,电子工业出版社,141,http://product.dangdang.com/25246531.html,images/model/guan/url_none.png
213, Python 深度学习实战：75个有关神经网络建模、强化学习与迁移学习的解决方案,54.50,清华大学出版社,331,http://product.dangdang.com/25299713.html,images/model/guan/url_none.png
214, 虫术――Python绝技,88.10,人民邮电出版社,405,http://product.dangdang.com/25306217.html,images/model/guan/url_none.png
215, 用Python玩转树莓派和MegaPi,26.90,水利水电出版社,0,http://product.dangdang.com/27874819.html,images/model/guan/url_none.png
216, Python测试驱动开发 使用Django Selenium和JavaScript进行Web编程 第2版,94.00,中国铁道出版社,190,http://product.dangdang.com/25304157.html,images/model/guan/url_none.png
217, Python与有限元,44.90,东南大学出版社,241,http://product.dangdang.com/25216052.html,images/model/guan/url_none.png
218, Python应用编程丛书：Python实战编程：从零学Python,97.20,机械工业出版社,26,http://product.dangdang.com/25536959.html,images/model/guan/url_none.png
219, Python网络数据采集 第2版（影印版）,61.40,电子工业出版社,35,http://product.dangdang.com/25585421.html,images/model/guan/url_none.png
220, 自然语言处理Python进阶,46.60,电子工业出版社,48,http://product.dangdang.com/26509831.html,images/model/guan/url_none.png
